Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
,,,0.065067,1.0598551,,0.073002,0.25233369
,,,0.13124,0.71612766,,0.1365,0.50697165
0.19474,2.3755185,,0.19657,1.0480578,,0.1979,1.0310477
0.26008,2.2948476,,0.26132,1.8525078,,0.2615,1.9091904
0.32542,3.3486127,,0.32576,3.2657171,,0.32581,3.3136786
0.39028,5.9188125,,0.39033,5.9335506,,0.39034,5.9667196
0.45503,9.1590524,,0.45505,9.1785003,,0.45505,9.200453
0.51967,13.875405,,0.51968,13.887048,,0.51968,13.901193
0.58434,19.475159,,0.58435,19.485712,,0.58435,19.497509
0.64915,27.832896,,0.64915,27.839913,,0.64915,27.847655
0.71389,36.369176,,0.71389,36.37538,,0.71389,36.381581
0.77868,46.507301,,0.77868,46.512063,,0.77868,46.516823
0.84348,62.615097,,0.84348,62.618932,,0.84348,62.622766
0.90826,75.984801,,0.90826,75.988185,,0.90826,75.991569
0.9731,96.031491,,0.9731,96.033722,,0.9731,96.035954
1.0379,117.46336,,1.0379,117.46512,,1.0379,117.46687
1.1027,147.71796,,1.1027,147.71954,,1.1027,147.72111
1.1675,177.60081,,1.1675,177.60211,,1.1675,177.60341
1.2323,216.91495,,1.2323,216.9159,,1.2323,216.91685
1.2971,246.64902,,1.2971,246.65001,,1.2971,246.65099
1.362,300.44687,,1.362,300.44762,,1.362,300.44836
1.4268,348.51043,,1.4268,348.51112,,1.4268,348.51182
1.4916,421.88478,,1.4916,421.88532,,1.4916,421.88586
1.5565,479.67383,,1.5565,479.6743,,1.5565,479.67477
1.6213,593.99942,,1.6213,593.99982,,1.6213,594.00022
1.6861,660.36389,,1.6861,660.36423,,1.6861,660.36458
1.7509,741.23558,,1.7509,741.23589,,1.7509,741.2362
1.8158,869.05334,,1.8158,869.05362,,1.8158,869.0539
1.8806,996.63038,,1.8806,996.63063,,1.8806,996.63088
1.9454,1200.5981,,1.9454,1200.5983,,1.9454,1200.5986
2.0103,1288.0823,,2.0103,1288.0825,,2.0103,1288.0827
2.0751,1444.2363,,2.0751,1444.2364,,2.0751,1444.2366
2.14,1829.8628,,2.14,1829.8629,,2.14,1829.863
2.2048,1848.968,,2.2048,1848.9682,,2.2048,1848.9684
2.2696,2085.7803,,2.2696,2085.7804,,2.2696,2085.7806
2.3344,2400.0597,,2.3344,2400.0598,,2.3344,2400.0599
2.3993,2847.8557,,2.3993,2847.8558,,2.3993,2847.8559
2.4641,3210.5125,,2.4641,3210.5126,,2.4641,3210.5127
2.5289,3624.2833,,2.5289,3624.2834,,2.5289,3624.2835
2.5937,5585.1137,,2.5937,5585.1139,,2.5937,5585.1141